severity_kw,duration_min,sampling_s,persist_w,persist_c,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
0.5,240,30,6,18,machine,42,False,,False,,,,0
0.5,240,30,6,18,machine,43,False,,False,,,,0
0.5,240,30,6,18,machine,44,False,,False,,,,0
0.5,240,30,6,18,machine,45,False,,False,,,,0
0.5,240,30,6,18,machine,46,False,,False,,,,0
0.5,240,30,6,18,machine,47,False,,False,,,,0
0.5,240,30,6,18,machine,48,False,,False,,,,0
0.5,240,30,6,18,machine,49,False,,False,,,,0
0.5,240,30,6,18,machine,50,False,,False,,,,0
0.5,240,30,6,18,machine,51,False,,False,,,,0
0.5,240,60,3,9,machine,42,False,,False,,,,0
0.5,240,60,3,9,machine,43,False,,False,,,,0
0.5,240,60,3,9,machine,44,False,,False,,,,0
0.5,240,60,3,9,machine,45,False,,False,,,,0
0.5,240,60,3,9,machine,46,False,,False,,,,0
0.5,240,60,3,9,machine,47,False,,False,,,,0
0.5,240,60,3,9,machine,48,False,,False,,,,0
0.5,240,60,3,9,machine,49,False,,False,,,,0
0.5,240,60,3,9,machine,50,False,,False,,,,0
0.5,240,60,3,9,machine,51,False,,False,,,,0
0.5,240,300,2,4,machine,42,False,,False,,,,0
0.5,240,300,2,4,machine,43,False,,False,,,,0
0.5,240,300,2,4,machine,44,False,,False,,,,0
0.5,240,300,2,4,machine,45,False,,False,,,,0
0.5,240,300,2,4,machine,46,False,,False,,,,0
0.5,240,300,2,4,machine,47,True,20.0,False,,spindle,False,0
0.5,240,300,2,4,machine,48,False,,False,,,,0
0.5,240,300,2,4,machine,49,False,,False,,,,0
0.5,240,300,2,4,machine,50,False,,False,,,,0
0.5,240,300,2,4,machine,51,False,,False,,,,0
0.5,240,900,2,4,machine,42,False,,False,,,,0
0.5,240,900,2,4,machine,43,False,,False,,,,0
0.5,240,900,2,4,machine,44,False,,False,,,,0
0.5,240,900,2,4,machine,45,False,,False,,,,0
0.5,240,900,2,4,machine,46,False,,False,,,,0
0.5,240,900,2,4,machine,47,False,,False,,,,0
0.5,240,900,2,4,machine,48,False,,False,,,,0
0.5,240,900,2,4,machine,49,False,,False,,,,0
0.5,240,900,2,4,machine,50,False,,False,,,,0
0.5,240,900,2,4,machine,51,False,,False,,,,0
0.75,240,30,6,18,machine,42,False,,False,,,,0
