severity_kw,duration_min,threshold_pct,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,fp_rate_per_production_hour
1.5,240.0,5,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,
1.5,240.0,5,machine,43,True,5.0,True,11.0,machine,True,5,with_anomaly,
1.5,240.0,5,machine,44,True,7.0,True,13.0,machine,True,6,with_anomaly,
1.5,240.0,5,machine,45,True,21.0,True,27.0,machine,True,3,with_anomaly,
1.5,240.0,5,machine,46,True,5.0,True,11.0,machine,True,2,with_anomaly,
1.5,240.0,5,machine,47,True,21.0,True,27.0,machine,True,2,with_anomaly,
1.5,240.0,5,machine,48,True,2.0,True,8.0,machine,True,2,with_anomaly,
1.5,240.0,5,machine,49,True,6.0,True,12.0,machine,True,4,with_anomaly,
1.5,240.0,5,machine,50,True,10.0,True,16.0,machine,True,2,with_anomaly,
1.5,240.0,5,machine,51,True,4.0,True,10.0,machine,True,1,with_anomaly,
0.0,0.0,5,,242,,,,,,,7,no_anomaly,0.5698778833107191
0.0,0.0,5,,243,,,,,,,4,no_anomaly,0.3399433427762039
0.0,0.0,5,,244,,,,,,,6,no_anomaly,0.5
0.0,0.0,5,,245,,,,,,,7,no_anomaly,0.5412371134020618
0.0,0.0,5,,246,,,,,,,6,no_anomaly,0.47120418848167545
0.0,0.0,5,,247,,,,,,,1,no_anomaly,0.08583690987124463
0.0,0.0,5,,248,,,,,,,4,no_anomaly,0.321285140562249
0.0,0.0,5,,249,,,,,,,4,no_anomaly,0.3278688524590164
0.0,0.0,5,,250,,,,,,,4,no_anomaly,0.34285714285714286
0.0,0.0,5,,251,,,,,,,5,no_anomaly,0.40106951871657753
1.5,240.0,8,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,
1.5,240.0,8,machine,43,True,8.0,True,14.0,machine,True,3,with_anomaly,
1.5,240.0,8,machine,44,True,8.0,True,14.0,machine,True,4,with_anomaly,
1.5,240.0,8,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,8,machine,46,True,6.0,True,12.0,machine,True,2,with_anomaly,
1.5,240.0,8,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,8,machine,48,True,3.0,True,9.0,machine,True,1,with_anomaly,
1.5,240.0,8,machine,49,True,7.0,True,13.0,machine,True,1,with_anomaly,
1.5,240.0,8,machine,50,True,10.0,True,16.0,machine,True,2,with_anomaly,
1.5,240.0,8,machine,51,True,6.0,True,12.0,machine,True,1,with_anomaly,
0.0,0.0,8,,242,,,,,,,3,no_anomaly,0.24423337856173677
0.0,0.0,8,,243,,,,,,,1,no_anomaly,0.08498583569405098
0.0,0.0,8,,244,,,,,,,3,no_anomaly,0.25
0.0,0.0,8,,245,,,,,,,3,no_anomaly,0.23195876288659795
0.0,0.0,8,,246,,,,,,,2,no_anomaly,0.15706806282722513
0.0,0.0,8,,247,,,,,,,1,no_anomaly,0.08583690987124463
0.0,0.0,8,,248,,,,,,,2,no_anomaly,0.1606425702811245
0.0,0.0,8,,249,,,,,,,2,no_anomaly,0.1639344262295082
0.0,0.0,8,,250,,,,,,,2,no_anomaly,0.17142857142857143
0.0,0.0,8,,251,,,,,,,2,no_anomaly,0.16042780748663102
1.5,240.0,10,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,
1.5,240.0,10,machine,43,True,10.0,True,16.0,machine,True,2,with_anomaly,
1.5,240.0,10,machine,44,True,10.0,True,16.0,machine,True,4,with_anomaly,
1.5,240.0,10,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,10,machine,46,True,6.0,True,12.0,machine,True,2,with_anomaly,
1.5,240.0,10,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,10,machine,48,True,3.0,True,9.0,machine,True,0,with_anomaly,
1.5,240.0,10,machine,49,True,8.0,True,14.0,machine,True,0,with_anomaly,
1.5,240.0,10,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,10,machine,51,True,7.0,True,13.0,machine,True,1,with_anomaly,
0.0,0.0,10,,242,,,,,,,2,no_anomaly,0.1628222523744912
0.0,0.0,10,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,10,,244,,,,,,,3,no_anomaly,0.25
0.0,0.0,10,,245,,,,,,,2,no_anomaly,0.15463917525773196
0.0,0.0,10,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,10,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,10,,248,,,,,,,3,no_anomaly,0.24096385542168677
0.0,0.0,10,,249,,,,,,,1,no_anomaly,0.0819672131147541
0.0,0.0,10,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,10,,251,,,,,,,1,no_anomaly,0.08021390374331551
1.5,240.0,12,machine,42,True,13.0,True,19.0,machine,True,1,with_anomaly,
1.5,240.0,12,machine,43,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,44,True,11.0,True,17.0,machine,True,2,with_anomaly,
1.5,240.0,12,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,46,True,6.0,True,12.0,machine,True,1,with_anomaly,
1.5,240.0,12,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,48,True,5.0,True,11.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,49,True,9.0,True,15.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,12,machine,51,True,8.0,True,14.0,machine,True,0,with_anomaly,
0.0,0.0,12,,242,,,,,,,1,no_anomaly,0.0814111261872456
0.0,0.0,12,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,12,,244,,,,,,,1,no_anomaly,0.08333333333333333
0.0,0.0,12,,245,,,,,,,1,no_anomaly,0.07731958762886598
0.0,0.0,12,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,12,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,12,,248,,,,,,,2,no_anomaly,0.1606425702811245
0.0,0.0,12,,249,,,,,,,1,no_anomaly,0.0819672131147541
0.0,0.0,12,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,12,,251,,,,,,,1,no_anomaly,0.08021390374331551
1.5,240.0,15,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,43,True,12.0,True,18.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,44,True,12.0,True,18.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,46,True,7.0,True,13.0,machine,True,1,with_anomaly,
1.5,240.0,15,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,48,True,5.0,True,11.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,49,True,11.0,True,17.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,15,machine,51,True,10.0,True,16.0,machine,True,0,with_anomaly,
0.0,0.0,15,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,245,,,,,,,1,no_anomaly,0.07731958762886598
0.0,0.0,15,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,248,,,,,,,1,no_anomaly,0.08032128514056225
0.0,0.0,15,,249,,,,,,,1,no_anomaly,0.0819672131147541
0.0,0.0,15,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,15,,251,,,,,,,1,no_anomaly,0.08021390374331551
1.5,240.0,20,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,43,True,14.0,True,20.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,44,True,15.0,True,21.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,46,True,8.0,True,14.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,48,True,8.0,True,14.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,49,True,14.0,True,20.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,20,machine,51,True,14.0,True,20.0,machine,True,0,with_anomaly,
0.0,0.0,20,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,20,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,25,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,
1.5,240.0,25,machine,43,True,17.0,False,,machine,True,0,with_anomaly,
1.5,240.0,25,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,25,machine,45,True,21.0,False,,machine,True,0,with_anomaly,
1.5,240.0,25,machine,46,True,9.0,True,15.0,machine,True,0,with_anomaly,
1.5,240.0,25,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,25,machine,48,True,14.0,False,,machine,True,0,with_anomaly,
1.5,240.0,25,machine,49,True,17.0,True,23.0,machine,True,0,with_anomaly,
1.5,240.0,25,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,25,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,25,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,25,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,30,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,
1.5,240.0,30,machine,43,False,,False,,,,0,with_anomaly,
1.5,240.0,30,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,30,machine,45,False,,False,,,,0,with_anomaly,
1.5,240.0,30,machine,46,True,11.0,False,,machine,True,0,with_anomaly,
1.5,240.0,30,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,
1.5,240.0,30,machine,48,False,,False,,,,0,with_anomaly,
1.5,240.0,30,machine,49,False,,False,,,,0,with_anomaly,
1.5,240.0,30,machine,50,True,10.0,True,16.0,machine,True,0,with_anomaly,
1.5,240.0,30,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,30,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,30,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,40,machine,42,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,43,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,45,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,46,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,47,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,48,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,49,False,,False,,,,0,with_anomaly,
1.5,240.0,40,machine,50,True,10.0,False,,machine,True,0,with_anomaly,
1.5,240.0,40,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,40,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,40,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,50,machine,42,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,43,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,45,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,46,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,47,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,48,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,49,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,50,False,,False,,,,0,with_anomaly,
1.5,240.0,50,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,50,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,50,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,75,machine,42,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,43,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,45,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,46,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,47,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,48,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,49,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,50,False,,False,,,,0,with_anomaly,
1.5,240.0,75,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,75,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,75,,251,,,,,,,0,no_anomaly,0.0
1.5,240.0,100,machine,42,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,43,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,44,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,45,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,46,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,47,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,48,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,49,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,50,False,,False,,,,0,with_anomaly,
1.5,240.0,100,machine,51,False,,False,,,,0,with_anomaly,
0.0,0.0,100,,242,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,243,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,244,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,245,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,246,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,247,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,248,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,249,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,250,,,,,,,0,no_anomaly,0.0
0.0,0.0,100,,251,,,,,,,0,no_anomaly,0.0
