severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
1.5,240.0,absolute,15.0,machine,42,True,13.0,True,19.0,machine,True,8,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,43,True,37.0,True,43.0,spindle,False,10,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,44,True,72.0,True,78.0,spindle,False,12,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,45,True,21.0,True,27.0,machine,True,9,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,46,True,4.0,True,10.0,machine,True,11,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,47,True,21.0,True,27.0,machine,True,10,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,48,True,2.0,True,8.0,machine,True,10,with_anomaly,15.0,,,
1.5,240.0,absolute,15.0,machine,49,True,73.0,True,79.0,spindle,False,10,with_anomaly,15.0,,,
0.0,0.0,absolute,15.0,,242,,,,,,,13,no_anomaly,15.0,1.0583446404341927,,
0.0,0.0,absolute,15.0,,243,,,,,,,14,no_anomaly,15.0,1.1898016997167138,,
0.0,0.0,absolute,15.0,,244,,,,,,,15,no_anomaly,15.0,1.25,,
0.0,0.0,absolute,15.0,,245,,,,,,,15,no_anomaly,15.0,1.1597938144329896,,
0.0,0.0,absolute,15.0,,246,,,,,,,14,no_anomaly,15.0,1.099476439790576,,
0.0,0.0,absolute,15.0,,247,,,,,,,14,no_anomaly,15.0,1.2017167381974247,,
0.0,0.0,absolute,15.0,,248,,,,,,,13,no_anomaly,15.0,1.0441767068273093,,
0.0,0.0,absolute,15.0,,249,,,,,,,14,no_anomaly,15.0,1.1475409836065575,,
1.5,240.0,absolute,20.0,machine,42,True,13.0,True,19.0,machine,True,10,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,43,True,37.0,True,43.0,spindle,False,16,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,44,True,5.0,True,11.0,machine,True,10,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,45,True,21.0,True,27.0,machine,True,18,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,46,True,4.0,True,10.0,machine,True,8,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,47,True,21.0,True,27.0,machine,True,7,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,48,True,2.0,True,8.0,machine,True,5,with_anomaly,20.0,,,
1.5,240.0,absolute,20.0,machine,49,True,4.0,True,10.0,machine,True,11,with_anomaly,20.0,,,
0.0,0.0,absolute,20.0,,242,,,,,,,15,no_anomaly,20.0,1.2211668928086838,,
0.0,0.0,absolute,20.0,,243,,,,,,,15,no_anomaly,20.0,1.2747875354107647,,
0.0,0.0,absolute,20.0,,244,,,,,,,17,no_anomaly,20.0,1.4166666666666667,,
0.0,0.0,absolute,20.0,,245,,,,,,,8,no_anomaly,20.0,0.6185567010309279,,
0.0,0.0,absolute,20.0,,246,,,,,,,17,no_anomaly,20.0,1.3350785340314137,,
0.0,0.0,absolute,20.0,,247,,,,,,,8,no_anomaly,20.0,0.6866952789699571,,
0.0,0.0,absolute,20.0,,248,,,,,,,13,no_anomaly,20.0,1.0441767068273093,,
0.0,0.0,absolute,20.0,,249,,,,,,,14,no_anomaly,20.0,1.1475409836065575,,
1.5,240.0,absolute,22.0,machine,42,True,13.0,True,19.0,machine,True,0,with_anomaly,22.0,,,
1.5,240.0,absolute,22.0,machine,43,True,6.0,True,12.0,machine,True,0,with_anomaly,22.0,,,
1.5,240.0,absolute,22.0,machine,44,True,10.0,True,16.0,machine,True,0,with_anomaly,22.0,,,
1.5,240.0,absolute,22.0,machine,45,True,21.0,True,27.0,machine,True,0,with_anomaly,22.0,,,
1.5,240.0,absolute,22.0,machine,46,True,6.0,True,12.0,machine,True,0,with_anomaly,22.0,,,
