severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
1.0,240,spindle,ramp,60,42,False,,False,,,,0
1.0,240,spindle,ramp,60,43,False,,False,,,,0
1.0,240,spindle,ramp,60,44,False,,False,,,,0
1.0,240,spindle,ramp,60,45,False,,False,,,,0
1.0,240,spindle,ramp,60,46,False,,False,,,,0
1.0,240,spindle,ramp,60,47,True,21.0,False,,spindle,True,0
1.0,240,spindle,ramp,60,48,False,,False,,,,0
1.0,240,spindle,ramp,60,49,False,,False,,,,0
1.0,240,spindle,ramp,60,50,True,10.0,True,16.0,spindle,True,0
1.0,240,spindle,ramp,60,51,False,,False,,,,0
1.5,240,spindle,ramp,60,42,True,13.0,True,19.0,spindle,True,0
1.5,240,spindle,ramp,60,43,True,16.0,True,22.0,spindle,True,0
1.5,240,spindle,ramp,60,44,False,,False,,,,0
1.5,240,spindle,ramp,60,45,True,21.0,False,,spindle,True,0
1.5,240,spindle,ramp,60,46,True,9.0,True,15.0,spindle,True,0
1.5,240,spindle,ramp,60,47,True,21.0,True,27.0,spindle,True,0
1.5,240,spindle,ramp,60,48,True,12.0,False,,spindle,True,0
1.5,240,spindle,ramp,60,49,True,16.0,True,22.0,spindle,True,0
1.5,240,spindle,ramp,60,50,True,10.0,True,16.0,spindle,True,0
1.5,240,spindle,ramp,60,51,True,16.0,False,,spindle,True,0
2.0,240,spindle,ramp,60,42,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,60,43,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,60,44,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,60,45,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,60,46,True,8.0,True,14.0,spindle,True,0
2.0,240,spindle,ramp,60,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,60,48,True,6.0,True,12.0,spindle,True,0
2.0,240,spindle,ramp,60,49,True,12.0,True,18.0,spindle,True,0
2.0,240,spindle,ramp,60,50,True,10.0,True,16.0,spindle,True,0
2.0,240,spindle,ramp,60,51,True,12.0,True,18.0,spindle,True,0
3.0,240,spindle,ramp,60,42,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,60,43,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,60,44,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,60,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,60,46,True,7.0,True,13.0,spindle,True,0
3.0,240,spindle,ramp,60,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,60,48,True,3.0,True,9.0,spindle,True,0
3.0,240,spindle,ramp,60,49,True,9.0,True,15.0,spindle,True,0
3.0,240,spindle,ramp,60,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,60,51,True,8.0,True,14.0,spindle,True,0
4.0,240,spindle,ramp,60,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,60,43,True,7.0,True,13.0,spindle,True,0
4.0,240,spindle,ramp,60,44,True,8.0,True,14.0,spindle,True,0
4.0,240,spindle,ramp,60,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,60,46,True,6.0,True,12.0,spindle,True,0
4.0,240,spindle,ramp,60,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,60,48,True,3.0,True,9.0,spindle,True,0
4.0,240,spindle,ramp,60,49,True,7.0,True,13.0,spindle,True,0
4.0,240,spindle,ramp,60,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,60,51,True,6.0,True,12.0,spindle,True,0
