severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
2.0,240,spindle,ramp,600,42,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,600,43,True,17.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,44,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,45,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,600,46,True,11.0,True,17.0,spindle,True,0
2.0,240,spindle,ramp,600,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,600,48,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,49,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,50,True,10.0,True,16.0,spindle,True,0
2.0,240,spindle,ramp,600,51,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,52,True,19.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,53,True,28.0,True,34.0,spindle,True,0
2.0,240,spindle,ramp,600,54,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,55,True,19.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,56,True,20.0,True,26.0,spindle,True,0
2.0,240,spindle,ramp,600,57,True,19.0,True,25.0,spindle,True,0
2.0,240,spindle,ramp,600,58,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,59,True,41.0,True,47.0,spindle,True,0
2.0,240,spindle,ramp,600,60,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,61,False,,False,,,,0
2.0,240,spindle,ramp,600,62,False,,False,,,,0
2.0,240,spindle,ramp,600,63,True,7.0,True,13.0,spindle,True,0
2.0,240,spindle,ramp,600,64,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,65,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,66,True,39.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,67,True,23.0,True,29.0,spindle,True,0
2.0,240,spindle,ramp,600,68,True,43.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,69,True,26.0,True,32.0,spindle,True,0
2.0,240,spindle,ramp,600,70,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,71,True,20.0,True,26.0,spindle,True,0
2.0,240,spindle,ramp,600,72,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,73,True,28.0,True,34.0,spindle,True,0
2.0,240,spindle,ramp,600,74,True,31.0,True,37.0,spindle,True,0
2.0,240,spindle,ramp,600,75,True,9.0,True,15.0,spindle,True,0
2.0,240,spindle,ramp,600,76,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,77,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,78,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,79,True,20.0,True,26.0,spindle,True,0
2.0,240,spindle,ramp,600,80,True,44.0,True,50.0,spindle,True,0
2.0,240,spindle,ramp,600,81,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,82,True,22.0,True,28.0,spindle,True,0
2.0,240,spindle,ramp,600,83,True,16.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,84,True,22.0,True,28.0,spindle,True,0
2.0,240,spindle,ramp,600,85,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,600,86,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,87,True,33.0,True,39.0,spindle,True,0
2.0,240,spindle,ramp,600,88,True,31.0,True,37.0,spindle,True,0
2.0,240,spindle,ramp,600,89,True,11.0,True,17.0,spindle,True,0
2.0,240,spindle,ramp,600,90,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,91,True,27.0,True,33.0,spindle,True,0
2.0,240,spindle,ramp,600,92,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,93,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,94,True,43.0,True,49.0,spindle,True,0
2.0,240,spindle,ramp,600,95,True,22.0,True,28.0,spindle,True,0
2.0,240,spindle,ramp,600,96,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,600,97,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,98,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,99,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,100,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,101,True,27.0,True,33.0,spindle,True,0
2.0,240,spindle,ramp,600,102,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,103,True,25.0,True,31.0,spindle,True,0
2.0,240,spindle,ramp,600,104,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,105,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,106,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,107,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,108,True,31.0,True,37.0,spindle,True,0
2.0,240,spindle,ramp,600,109,True,11.0,True,17.0,spindle,True,0
2.0,240,spindle,ramp,600,110,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,111,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,112,True,30.0,True,36.0,spindle,True,0
2.0,240,spindle,ramp,600,113,True,40.0,True,46.0,spindle,True,0
2.0,240,spindle,ramp,600,114,True,19.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,115,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,116,True,14.0,True,20.0,spindle,True,0
2.0,240,spindle,ramp,600,117,True,22.0,True,28.0,spindle,True,0
2.0,240,spindle,ramp,600,118,True,19.0,True,25.0,spindle,True,0
2.0,240,spindle,ramp,600,119,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,120,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,121,True,24.0,True,30.0,spindle,True,0
2.0,240,spindle,ramp,600,122,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,123,True,15.0,True,41.0,spindle,True,0
2.0,240,spindle,ramp,600,124,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,125,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,126,True,9.0,True,15.0,spindle,True,0
2.0,240,spindle,ramp,600,127,False,,False,,,,0
2.0,240,spindle,ramp,600,128,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,129,True,31.0,True,37.0,spindle,True,0
2.0,240,spindle,ramp,600,130,True,12.0,True,18.0,spindle,True,0
2.0,240,spindle,ramp,600,131,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,132,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,133,True,8.0,True,14.0,spindle,True,0
2.0,240,spindle,ramp,600,134,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,135,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,136,True,16.0,True,39.0,spindle,True,0
2.0,240,spindle,ramp,600,137,True,19.0,True,25.0,spindle,True,0
2.0,240,spindle,ramp,600,138,True,37.0,True,43.0,spindle,True,0
2.0,240,spindle,ramp,600,139,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,140,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,600,141,True,30.0,True,36.0,spindle,True,0
2.0,240,spindle,ramp,600,142,False,,False,,,,0
2.0,240,spindle,ramp,600,143,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,144,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,145,True,33.0,True,39.0,spindle,True,0
2.0,240,spindle,ramp,600,146,True,11.0,True,17.0,spindle,True,0
2.0,240,spindle,ramp,600,147,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,148,True,16.0,True,22.0,spindle,True,0
2.0,240,spindle,ramp,600,149,True,6.0,True,12.0,spindle,True,0
