config,ramp_s,onset_ratio,detection_rate,ci_lo,ci_hi,median_latency_min,mean_fp_rate
C1_rolling_cusum,120,0.03333333333333333,1.0,1.0,1.0,14.0,0.0012353451565389221
C1_rolling_cusum,300,0.08333333333333333,1.0,1.0,1.0,15.0,0.0012353451565389221
C1_rolling_cusum,600,0.16666666666666666,0.995,0.985,1.0,18.0,0.0012353451565389221
C1_rolling_cusum,1080,0.3,1.0,1.0,1.0,22.0,0.0012353451565389221
C1_rolling_cusum,1440,0.4,0.985,0.965,1.0,27.0,0.0012353451565389221
C1_rolling_cusum,1800,0.5,0.96,0.93,0.985,30.0,0.0012353451565389221
C1_rolling_cusum,2160,0.6,0.945,0.91,0.975,34.0,0.0012353451565389221
C1_rolling_cusum,2520,0.7,0.91,0.87,0.95,38.0,0.0012353451565389221
C1_rolling_cusum,2880,0.8,0.86,0.81,0.905,41.0,0.0012353451565389221
C1_rolling_cusum,3240,0.9,0.77,0.715,0.83,45.0,0.0012353451565389221
C1_rolling_cusum,3600,1.0,0.735,0.675,0.795,48.0,0.0012353451565389221
C1_rolling_cusum,5400,1.5,0.41,0.34,0.48,72.0,0.0012353451565389221
C1_rolling_cusum,7200,2.0,0.325,0.264875,0.39,104.0,0.0012353451565389221
C2_model_residual,120,0.03333333333333333,1.0,1.0,1.0,13.0,0.0
C2_model_residual,300,0.08333333333333333,1.0,1.0,1.0,15.0,0.0
C2_model_residual,600,0.16666666666666666,1.0,1.0,1.0,17.0,0.0
C2_model_residual,1080,0.3,1.0,1.0,1.0,21.0,0.0
C2_model_residual,1440,0.4,1.0,1.0,1.0,24.0,0.0
C2_model_residual,1800,0.5,1.0,1.0,1.0,27.0,0.0
C2_model_residual,2160,0.6,1.0,1.0,1.0,31.0,0.0
C2_model_residual,2520,0.7,1.0,1.0,1.0,33.0,0.0
C2_model_residual,2880,0.8,1.0,1.0,1.0,36.0,0.0
C2_model_residual,3240,0.9,1.0,1.0,1.0,38.0,0.0
C2_model_residual,3600,1.0,1.0,1.0,1.0,41.0,0.0
C2_model_residual,5400,1.5,1.0,1.0,1.0,55.5,0.0
C2_model_residual,7200,2.0,1.0,1.0,1.0,71.0,0.0
D0_deployed,120,0.03333333333333333,0.975,0.95,0.995,13.0,0.0
D0_deployed,300,0.08333333333333333,0.975,0.95,0.995,15.0,0.0
D0_deployed,600,0.16666666666666666,0.97,0.945,0.99,18.0,0.0
D0_deployed,1080,0.3,0.905,0.86,0.94,23.0,0.0
D0_deployed,1440,0.4,0.83,0.775,0.88,27.0,0.0
D0_deployed,1800,0.5,0.71,0.65,0.775,31.0,0.0
D0_deployed,2160,0.6,0.625,0.555,0.69,35.0,0.0
D0_deployed,2520,0.7,0.49,0.42,0.565,39.0,0.0
D0_deployed,2880,0.8,0.405,0.34,0.4701249999999993,42.0,0.0
D0_deployed,3240,0.9,0.29,0.225,0.3501249999999993,45.5,0.0
D0_deployed,3600,1.0,0.235,0.18,0.2951249999999993,47.0,0.0
D0_deployed,5400,1.5,0.06,0.03,0.095,66.5,0.0
D0_deployed,7200,2.0,0.035,0.01,0.065,108.0,0.0
D2_anchored_cusum,120,0.03333333333333333,1.0,1.0,1.0,13.0,0.0024208277067658645
D2_anchored_cusum,300,0.08333333333333333,1.0,1.0,1.0,14.0,0.0024208277067658645
D2_anchored_cusum,600,0.16666666666666666,1.0,1.0,1.0,17.0,0.0024208277067658645
D2_anchored_cusum,1080,0.3,1.0,1.0,1.0,21.0,0.0024208277067658645
D2_anchored_cusum,1440,0.4,1.0,1.0,1.0,24.0,0.0024208277067658645
D2_anchored_cusum,1800,0.5,1.0,1.0,1.0,27.0,0.0024208277067658645
D2_anchored_cusum,2160,0.6,1.0,1.0,1.0,30.0,0.0024208277067658645
D2_anchored_cusum,2520,0.7,1.0,1.0,1.0,33.0,0.0024208277067658645
D2_anchored_cusum,2880,0.8,1.0,1.0,1.0,36.0,0.0024208277067658645
D2_anchored_cusum,3240,0.9,1.0,1.0,1.0,39.0,0.0024208277067658645
D2_anchored_cusum,3600,1.0,1.0,1.0,1.0,41.5,0.0024208277067658645
D2_anchored_cusum,5400,1.5,1.0,1.0,1.0,56.0,0.0024208277067658645
D2_anchored_cusum,7200,2.0,1.0,1.0,1.0,71.5,0.0024208277067658645
