config,severity_kw,onset_ratio,detection_rate,ci_lo,ci_hi
D0_deployed,1.0,0.16666666666666666,0.1,0.05,0.16
D0_deployed,1.0,0.3,0.08,0.03,0.13
D0_deployed,1.0,0.4,0.07,0.03,0.12
D0_deployed,1.0,0.5,0.05,0.01,0.09024999999999864
D0_deployed,1.0,0.6,0.04,0.01,0.08
D0_deployed,1.0,0.7,0.02,0.0,0.05
D0_deployed,1.0,0.8,0.02,0.0,0.05
D0_deployed,1.0,0.9,0.01,0.0,0.03
D0_deployed,1.0,1.0,0.01,0.0,0.03
D0_deployed,1.0,1.5,0.01,0.0,0.04
D0_deployed,1.0,2.0,0.01,0.0,0.03
D0_deployed,1.5,0.16666666666666666,0.66,0.56,0.75
D0_deployed,1.5,0.3,0.52,0.42,0.62
D0_deployed,1.5,0.4,0.41,0.32,0.5102499999999986
D0_deployed,1.5,0.5,0.3,0.21,0.39
D0_deployed,1.5,0.6,0.24,0.16,0.32
D0_deployed,1.5,0.7,0.16,0.09,0.24
D0_deployed,1.5,0.8,0.12,0.06,0.19
D0_deployed,1.5,0.9,0.08,0.03,0.14
D0_deployed,1.5,1.0,0.06,0.02,0.11
D0_deployed,1.5,1.5,0.02,0.0,0.05
D0_deployed,1.5,2.0,0.02,0.0,0.05
D0_deployed,2.0,0.16666666666666666,0.97,0.93,1.0
D0_deployed,2.0,0.3,0.9,0.84,0.95
D0_deployed,2.0,0.4,0.84,0.76,0.91
D0_deployed,2.0,0.5,0.68,0.59,0.77
D0_deployed,2.0,0.6,0.54,0.44,0.63
D0_deployed,2.0,0.7,0.42,0.32,0.52
D0_deployed,2.0,0.8,0.33,0.24,0.43
D0_deployed,2.0,0.9,0.23,0.15,0.31
D0_deployed,2.0,1.0,0.2,0.12,0.28
D0_deployed,2.0,1.5,0.06,0.02,0.11
D0_deployed,2.0,2.0,0.05,0.01,0.1
D0_deployed,3.0,0.16666666666666666,1.0,1.0,1.0
D0_deployed,3.0,0.3,1.0,1.0,1.0
D0_deployed,3.0,0.4,0.99,0.97,1.0
D0_deployed,3.0,0.5,0.97,0.93,1.0
D0_deployed,3.0,0.6,0.96,0.92,0.99
D0_deployed,3.0,0.7,0.89,0.82,0.95
D0_deployed,3.0,0.8,0.82,0.75,0.89
D0_deployed,3.0,0.9,0.72,0.64,0.8
D0_deployed,3.0,1.0,0.64,0.54,0.73
D0_deployed,3.0,1.5,0.41,0.32,0.51
D0_deployed,3.0,2.0,0.17,0.1,0.24
D0_deployed,4.0,0.16666666666666666,1.0,1.0,1.0
D0_deployed,4.0,0.3,1.0,1.0,1.0
D0_deployed,4.0,0.4,1.0,1.0,1.0
D0_deployed,4.0,0.5,1.0,1.0,1.0
D0_deployed,4.0,0.6,0.99,0.97,1.0
D0_deployed,4.0,0.7,0.99,0.96,1.0
D0_deployed,4.0,0.8,0.99,0.97,1.0
D0_deployed,4.0,0.9,0.97,0.93,1.0
D0_deployed,4.0,1.0,0.94,0.89,0.98
D0_deployed,4.0,1.5,0.72,0.63,0.8
D0_deployed,4.0,2.0,0.56,0.47,0.65
D2_anchored_cusum,1.0,0.16666666666666666,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.3,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.4,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.5,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.6,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.7,0.97,0.93,1.0
D2_anchored_cusum,1.0,0.8,0.96,0.92,0.99
D2_anchored_cusum,1.0,0.9,0.96,0.92,0.99
D2_anchored_cusum,1.0,1.0,0.96,0.92,0.99
D2_anchored_cusum,1.0,1.5,0.95,0.9,0.99
D2_anchored_cusum,1.0,2.0,0.95,0.9,0.99
D2_anchored_cusum,1.5,0.16666666666666666,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.3,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.4,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.5,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.6,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.7,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.8,1.0,1.0,1.0
D2_anchored_cusum,1.5,0.9,1.0,1.0,1.0
D2_anchored_cusum,1.5,1.0,1.0,1.0,1.0
D2_anchored_cusum,1.5,1.5,1.0,1.0,1.0
D2_anchored_cusum,1.5,2.0,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.16666666666666666,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.3,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.4,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.5,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.6,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.7,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.8,1.0,1.0,1.0
D2_anchored_cusum,2.0,0.9,1.0,1.0,1.0
D2_anchored_cusum,2.0,1.0,1.0,1.0,1.0
D2_anchored_cusum,2.0,1.5,1.0,1.0,1.0
D2_anchored_cusum,2.0,2.0,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.16666666666666666,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.3,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.4,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.5,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.6,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.7,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.8,1.0,1.0,1.0
D2_anchored_cusum,3.0,0.9,1.0,1.0,1.0
D2_anchored_cusum,3.0,1.0,1.0,1.0,1.0
D2_anchored_cusum,3.0,1.5,1.0,1.0,1.0
D2_anchored_cusum,3.0,2.0,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.16666666666666666,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.3,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.4,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.5,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.6,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.7,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.8,1.0,1.0,1.0
D2_anchored_cusum,4.0,0.9,1.0,1.0,1.0
D2_anchored_cusum,4.0,1.0,1.0,1.0,1.0
D2_anchored_cusum,4.0,1.5,1.0,1.0,1.0
D2_anchored_cusum,4.0,2.0,1.0,1.0,1.0
