severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
1.0,240,machine,ramp,120.0,42,False,,False,,,,0
1.0,240,machine,ramp,120.0,43,False,,False,,,,0
1.0,240,machine,ramp,120.0,44,False,,False,,,,0
1.0,240,machine,ramp,120.0,45,False,,False,,,,0
1.0,240,machine,ramp,120.0,46,False,,False,,,,0
1.0,240,machine,ramp,120.0,47,True,21.0,False,,machine,True,0
1.0,240,machine,ramp,120.0,48,False,,False,,,,0
1.0,240,machine,ramp,120.0,49,False,,False,,,,0
1.0,240,machine,ramp,120.0,50,True,10.0,True,16.0,machine,True,0
1.0,240,machine,ramp,120.0,51,False,,False,,,,0
1.0,240,machine,ramp,120.0,52,False,,False,,,,0
1.0,240,machine,ramp,120.0,53,False,,False,,,,0
1.0,240,machine,ramp,120.0,54,False,,False,,,,0
1.0,240,machine,ramp,120.0,55,False,,False,,,,0
1.0,240,machine,ramp,120.0,56,False,,False,,,,0
1.0,240,machine,ramp,120.0,57,False,,False,,,,0
1.0,240,machine,ramp,120.0,58,False,,False,,,,0
1.0,240,machine,ramp,120.0,59,False,,False,,,,0
1.0,240,machine,ramp,120.0,60,False,,False,,,,0
1.0,240,machine,ramp,120.0,61,False,,False,,,,0
1.0,240,machine,ramp,120.0,62,False,,False,,,,0
1.0,240,machine,ramp,120.0,63,True,6.0,True,12.0,machine,True,0
1.0,240,machine,ramp,120.0,64,False,,False,,,,0
1.0,240,machine,ramp,120.0,65,False,,False,,,,0
1.0,240,machine,ramp,120.0,66,False,,False,,,,0
1.0,240,machine,ramp,120.0,67,False,,False,,,,0
1.0,240,machine,ramp,120.0,68,False,,False,,,,0
1.0,240,machine,ramp,120.0,69,False,,False,,,,0
1.0,240,machine,ramp,120.0,70,False,,False,,,,0
1.0,240,machine,ramp,120.0,71,False,,False,,,,0
1.0,240,machine,ramp,120.0,72,False,,False,,,,0
1.0,240,machine,ramp,120.0,73,False,,False,,,,0
1.0,240,machine,ramp,120.0,74,False,,False,,,,0
1.0,240,machine,ramp,120.0,75,True,5.0,False,,machine,True,0
1.0,240,machine,ramp,120.0,76,False,,False,,,,0
